fid,bin,bbl,gr_area,bldg_area,prop_gr,cnstrct_yr,doitt_id,heightroof,feat_code,groundelev,qa,notes,classified,digitized,newlyadded,original_source,address,borough,ownertype,zonedist1,spdist1,bbl_fixed,xcoord,ycoord
276,1081406.00000,1012680001,6688.39808,20021.83721,0.33406,1963.00000,316464.00000,491.87000,2100,64.00000,Good,,1,0,0,classification,51 WEST 52 STREET,MN,,C5-3,MID,0,-73.97882,40.76123
277,1086078.00000,1001060002,220.53028,1696.20688,0.13001,2008.00000,1114709.00000,75.22553,2100,11.00000,Good,,1,0,0,classification,276 WATER STREET,MN,P,C6-2A,LM,0,-74.00117,40.70889
278,3398042.00000,3023930010,360.07051,585.43412,0.61505,2010.00000,1113834.00000,40.67822,2100,46.00000,Good,,1,0,0,classification,174 GRAND STREET,BK,P,R6B,,0,-73.96120,40.71431
279,1032534.00000,1012240001,726.98418,13756.71773,0.05285,1929.00000,132038.00000,168.50370,2100,102.00000,Good,,1,1,0,Visual - pre-classification,681 AMSTERDAM AVENUE,MN,P,C2-8,,0,-73.97136,40.79232
280,1028832.00000,1011340025,5484.93739,71917.71579,0.07627,1964.00000,159845.00000,92.46000,2100,74.00000,Good,,1,1,0,greenroofs.com,119 AMSTERDAM AVENUE,MN,M,C4-7,L,0,-73.98408,40.77341
281,1011210.00000,1006200062,161.03424,940.00673,0.17131,1899.00000,421904.00000,39.53000,2100,23.00000,Good,,1,0,0,classification,70 CHARLES STREET,MN,,R6,,0,-74.00344,40.73476
282,4000000.00000,4000850041,1160.59223,20275.87495,0.05724,,1268752.00000,149.08813,2100,12.00000,Good,,1,0,0,classification,45-50 PEARSON STREET,QN,,M1-5/R7-3,LIC,0,-73.94425,40.74455
283,2125340.00000,2027270004,1957.21049,9725.51117,0.20124,2011.00000,1257031.00000,77.18709,2100,64.00000,Good,,1,0,0,classification,1060 SIMPSON STREET,BX,X,R7-1,,0,-73.89254,40.82481
284,3144193.00000,3058250001,9518.23682,157733.36629,0.06034,1971.00000,354773.00000,296.53922,2100,49.00000,Good,,1,0,0,classification,260 65 STREET,BK,P,R7-1,BR,0,-74.02450,40.63926
285,1089742.00000,1011717509,3103.07011,45605.60659,0.06804,2015.00000,1260702.00000,328.24747,2100,9.00000,Good,,1,0,0,classification,50 RIVERSIDE BOULEVARD,MN,,R10,,0,-73.99124,40.77394
286,4209734.00000,4098030024,888.01906,16739.47171,0.05305,1963.00000,776190.00000,104.80000,2100,65.00000,Good,Not visible in newer imagery on google maps,1,0,0,classification,89-12 170 STREET,QN,,R6A,,0,-73.79145,40.70907
287,1007190.00000,1004807502,520.67707,4375.62344,0.11899,0.00000,645991.00000,70.36000,2100,37.00000,Good,,1,0,0,classification,372 BROOME STREET,MN,,C6-2G,,1,-73.99608,40.72051
288,3124035.00000,3053200055,369.62296,9354.53222,0.03951,,1281366.00000,,2100,51.00000,Good,,1,0,0,classification,22 CATON PLACE,BK,,R7B,OP,0,-73.97394,40.64907
289,3007488.00000,3004470022,163.98870,3800.21692,0.04315,1931.00000,362425.00000,25.41000,2100,10.00000,Good,,1,0,0,classification,498 PRESIDENT STREET,BK,,M1-2,,0,-73.98670,40.67791
